"loan_type_name","property_type_name","loan_purpose_name","owner_occupancy_name","loan_amount_000s","action_taken_name","applicant_ethnicity_name","applicant_race_name_1","applicant_sex_name","applicant_income_000s","lien_status_name","population","minority_population","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units","co_applicant"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",146,"1","Hispanic or Latino","White","Male",85,"Secured by a first lien",3132,62.7999992370605,75.4199981689453,588,956,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",796,"1","Not Hispanic or Latino","White","Female",219,"Secured by a first lien",2138,27.8799991607666,212.550003051758,606,872,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",347,"1","Not Hispanic or Latino","White","Male",71,"Secured by a first lien",5511,45.0400009155273,108.220001220703,661,1094,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",424,"0","Not Hispanic or Latino","Native Hawaiian or Other Pacific Islander","Female",132,"Secured by a first lien",4366,26.4300003051758,198.300003051758,1496,2052,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",168,"1","Not Hispanic or Latino","White","Female",151,"Secured by a first lien",4299,65.9199981689453,122.690002441406,1238,1845,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",338,"1","Hispanic or Latino","White","Female",86,"Secured by a first lien",7161,57.0299987792969,130.580001831055,1647,2622,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",132,"1","Not Hispanic or Latino","White","Male",45,"Secured by a first lien",1540,52.3400001525879,86.3099975585938,403,594,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",163,"1","Not Hispanic or Latino","White","Male",62,"Secured by a first lien",3882,19.9400005340576,86.8899993896484,694,1263,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",230,"0","Hispanic or Latino","White","Male",117,"Secured by a first lien",3806,68.7900009155273,82.6600036621094,744,1282,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",150,"1","Not Hispanic or Latino","White","Male",43,"Secured by a first lien",3963,66.870002746582,73.129997253418,692,1190,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",197,"0","Not Hispanic or Latino","White","Male",30,"Secured by a first lien",2207,24.2900009155273,107.699996948242,610,918,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",466,"1","Not Hispanic or Latino","White","Male",128,"Secured by a first lien",1572,4.19999980926514,215.589996337891,545,779,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",370,"0","Not Hispanic or Latino","Black or African American","Male",76,"Secured by a first lien",5525,18.3299999237061,126.680000305176,2847,3533,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",200,"1","Not Hispanic or Latino","White","Male",270,"Secured by a first lien",8199,28,163.880004882812,1853,2412,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",1250,"1","Not Hispanic or Latino","Asian","Male",389,"Secured by a first lien",2388,28.6399993896484,182.119995117188,637,926,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",248,"0","Not Hispanic or Latino","White","Female",115,"Secured by a first lien",8931,71.9700012207031,96.8300018310547,1514,2788,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",524,"1","Not Hispanic or Latino","White","Female",222,"Secured by a first lien",3001,27.0599994659424,202.869995117188,988,1071,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",162,"1","Not Hispanic or Latino","White","Male",102,"Secured by a first lien",5907,45.4500007629395,0,344,1068,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",130,"1","Not Hispanic or Latino","White","Male",60,"Secured by a first lien",4398,27.6299991607666,121.370002746582,859,1147,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",268,"1","Not Hispanic or Latino","White","Female",101,"Secured by a first lien",4576,50.0400009155273,165.070007324219,1096,1543,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",272,"1","Not Hispanic or Latino","White","Male",88,"Secured by a first lien",3674,17.5799999237061,99.4000015258789,1291,1596,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",296,"1","Not Hispanic or Latino","White","Female",72,"Secured by a first lien",5082,57.4799995422363,219.240005493164,1023,1491,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",200,"0","Hispanic or Latino","White","Male",96,"Secured by a first lien",7621,59.1399993896484,117.720001220703,1519,2485,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",268,"0","Not Hispanic or Latino","Asian","Male",22,"Secured by a first lien",6097,52.8499984741211,133.830001831055,1396,2051,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",50,"1","Not Hispanic or Latino","Black or African American","Male",30,"Secured by a first lien",6242,7.34000015258789,117.349998474121,1984,2466,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",270,"1","Not Hispanic or Latino","White","Female",105,"Secured by a first lien",3648,54.8199996948242,116.349998474121,926,1369,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",325,"1","Hispanic or Latino","White","Male",92,"Secured by a first lien",4584,14.8100004196167,142.419998168945,1413,1838,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",249,"1","Not Hispanic or Latino","White","Male",67,"Secured by a first lien",4122,69.1399993896484,112.889999389648,996,1297,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",150,"1","Hispanic or Latino","White","Male",126,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",184,"1","Hispanic or Latino","White","Female",111,"Secured by a first lien",8307,43.0099983215332,103.980003356934,2168,2950,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",145,"1","Not Hispanic or Latino","White","Male",103,"Secured by a first lien",2623,16.1599998474121,114.419998168945,849,1106,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",154,"0","Not Hispanic or Latino","Black or African American","Female",37,"Secured by a first lien",5361,83.7699966430664,67.0599975585938,524,1650,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",150,"1","Hispanic or Latino","Black or African American","Female",49,"Secured by a first lien",8734,54.0800018310547,107.849998474121,1472,2822,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",128,"1","Hispanic or Latino","White","Male",45,"Secured by a first lien",7485,49.2599983215332,84.7699966430664,1297,1595,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",256,"1","Not Hispanic or Latino","White","Male",157,"Secured by a first lien",7198,32.0900001525879,107.330001831055,1408,2083,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",201,"0","Not Hispanic or Latino","Asian","Male",54,"Secured by a first lien",4527,22.9099998474121,116.680000305176,965,1339,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",417,"0","Not Hispanic or Latino","Asian","Male",209,"Secured by a first lien",9805,59.9099998474121,105.139999389648,2012,3571,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",165,"0","Hispanic or Latino","White","Female",92,"Secured by a first lien",2431,69.6399993896484,52.3400001525879,183,610,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",315,"1","Hispanic or Latino","White","Male",98,"Secured by a first lien",3936,60.2599983215332,119.129997253418,878,1260,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",188,"0","Not Hispanic or Latino","Black or African American","Female",36,"Secured by a first lien",3825,47.8699989318848,94.129997253418,970,1374,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",200,"1","Not Hispanic or Latino","Black or African American","Male",73,"Secured by a first lien",6305,56.5299987792969,110.480003356934,1187,2144,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",202,"1","Hispanic or Latino","White","Male",37,"Secured by a first lien",4853,51.1399993896484,71.4400024414062,582,1137,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",168,"0","Hispanic or Latino","White","Male",40,"Secured by a first lien",5257,76.0899963378906,92.9499969482422,813,1507,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",168,"1","Not Hispanic or Latino","White","Male",51,"Secured by a first lien",9238,20.6800003051758,92.4499969482422,2659,3701,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",176,"1","Not Hispanic or Latino","White","Male",103,"Secured by a first lien",2871,33.5800018310547,77.7300033569336,325,465,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",420,"1","Not Hispanic or Latino","Asian","Female",194,"Secured by a first lien",6353,31.4500007629395,160.839996337891,1505,2298,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",360,"1","Not Hispanic or Latino","White","Female",135,"Secured by a first lien",3819,30.1599998474121,114.459999084473,1444,1863,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",204,"1","Not Hispanic or Latino","White","Male",61,"Secured by a first lien",6305,56.5299987792969,110.480003356934,1187,2144,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",20,"1","Not Hispanic or Latino","White","Male",122,"Secured by a subordinate lien",2847,19,141.419998168945,1048,1110,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",75,"0","Not Hispanic or Latino","White","Male",60,"Secured by a first lien",2629,43.8600006103516,121.639999389648,766,1056,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",112,"0","Not Hispanic or Latino","White","Female",131,"Secured by a first lien",4868,26.6599998474121,129.779998779297,1070,1498,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",230,"1","Not Hispanic or Latino","White","Female",69,"Secured by a first lien",5414,28.4300003051758,89.870002746582,1153,2099,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",269,"1","Not Hispanic or Latino","White","Female",61,"Secured by a first lien",4398,27.6299991607666,121.370002746582,859,1147,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",153,"1","Not Hispanic or Latino","White","Female",51,"Secured by a first lien",3570,53.2799987792969,73.9599990844727,482,657,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",128,"0","Not Hispanic or Latino","White","Male",36,"Secured by a first lien",5101,32.2900009155273,76.6699981689453,811,2111,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",197,"1","Not Hispanic or Latino","White","Male",57,"Secured by a first lien",4659,20.1800003051758,126.019996643066,1359,1720,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",284,"1","Not Hispanic or Latino","White","Male",65,"Secured by a first lien",5767,39.5200004577637,172.320007324219,1394,1875,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",125,"0","Not Hispanic or Latino","White","Female",17,"Secured by a first lien",937,30.9500007629395,55.6100006103516,203,672,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",122,"1","Not Hispanic or Latino","Asian","Male",103,"Secured by a first lien",4299,65.9199981689453,122.690002441406,1238,1845,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",249,"0","Hispanic or Latino","White","Female",94,"Secured by a first lien",4475,32.7400016784668,150.850006103516,1236,1709,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",196,"1","Not Hispanic or Latino","White","Male",54,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",152,"1","Not Hispanic or Latino","Black or African American","Female",44,"Secured by a first lien",6490,64.4800033569336,75.0599975585938,113,903,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",25,"0","Not Hispanic or Latino","White","Female",17,"Secured by a first lien",3437,42.7999992370605,104.169998168945,985,1250,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",100,"0","Not Hispanic or Latino","Native Hawaiian or Other Pacific Islander","Male",36,"Secured by a first lien",3723,80.8000030517578,50,366,902,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",266,"1","Not Hispanic or Latino","Black or African American","Female",49,"Secured by a first lien",2953,23.5699996948242,154.669998168945,673,983,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",1008,"0","Not Hispanic or Latino","Asian","Male",255,"Secured by a first lien",798,28.5699996948242,289.609985351562,82,23,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",140,"1","Hispanic or Latino","White","Male",100,"Secured by a first lien",4873,69.4000015258789,72.3499984741211,590,1154,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",191,"1","Hispanic or Latino","White","Male",37,"Secured by a first lien",2970,50.810001373291,102.709999084473,823,1109,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",220,"0","Not Hispanic or Latino","White","Female",52,"Secured by a first lien",3856,45.1800003051758,84.1999969482422,519,849,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",238,"1","Not Hispanic or Latino","Asian","Male",108,"Secured by a first lien",6387,39.310001373291,120.180000305176,1344,1969,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",391,"0","Not Hispanic or Latino","White","Male",132,"Secured by a first lien",5881,26.2900009155273,189.020004272461,1538,1942,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",534,"1","Not Hispanic or Latino","White","Male",160,"Secured by a first lien",4600,38.6300010681152,234.850006103516,859,1602,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",178,"1","Not Hispanic or Latino","White","Male",152,"Secured by a first lien",5022,28.9300003051758,124.459999084473,1321,2025,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",132,"1","Not Hispanic or Latino","White","Female",20,"Secured by a first lien",10078,19.9200000762939,103.099998474121,2874,4247,"no"
"Conventional","Manufactured housing","Home purchase","Owner-occupied as a principal dwelling",121,"1","Not Hispanic or Latino","White","Male",39,"Secured by a first lien",4788,22.0599994659424,135.100006103516,1491,2107,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",192,"1","Not Hispanic or Latino","White","Male",34,"Secured by a first lien",9238,20.6800003051758,92.4499969482422,2659,3701,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",170,"1","Not Hispanic or Latino","White","Male",58,"Secured by a first lien",7306,16.3299999237061,138.990005493164,1900,2498,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",320,"0","Not Hispanic or Latino","White","Male",125,"Secured by a first lien",8199,28,163.880004882812,1853,2412,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",233,"0","Not Hispanic or Latino","Native Hawaiian or Other Pacific Islander","Female",120,"Secured by a first lien",2979,41.3600006103516,121.26000213623,650,832,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",388,"1","Not Hispanic or Latino","White","Male",80,"Secured by a first lien",8062,42.8300018310547,120.099998474121,1567,2542,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",262,"1","Not Hispanic or Latino","White","Female",91,"Secured by a first lien",7804,58.8400001525879,93.6500015258789,1161,2569,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",176,"1","Not Hispanic or Latino","White","Male",55,"Secured by a first lien",4562,38.4900016784668,124.23999786377,1168,1828,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",174,"1","Not Hispanic or Latino","White","Male",63,"Secured by a first lien",3588,68.3399963378906,59.0699996948242,405,1308,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",265,"1","Not Hispanic or Latino","White","Male",116,"Secured by a first lien",1527,51.2099990844727,76.1500015258789,414,632,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",382,"1","Not Hispanic or Latino","White","Male",133,"Secured by a first lien",5881,26.2900009155273,189.020004272461,1538,1942,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",185,"0","Not Hispanic or Latino","Asian","Male",117,"Secured by a first lien",4356,87.1900024414062,57.5099983215332,618,1303,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",246,"1","Not Hispanic or Latino","White","Male",91,"Secured by a first lien",4923,23.9500007629395,128.479995727539,1263,1722,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",336,"1","Not Hispanic or Latino","White","Male",79,"Secured by a first lien",2640,49.7299995422363,126.930000305176,299,757,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",265,"1","Not Hispanic or Latino","White","Male",110,"Secured by a first lien",5935,28.7099990844727,137.080001831055,2240,2780,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",365,"0","Not Hispanic or Latino","White","Male",168,"Secured by a first lien",2276,48.0200004577637,145.169998168945,508,920,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",220,"1","Not Hispanic or Latino","White","Female",63,"Secured by a first lien",8029,23.6100006103516,77.1699981689453,1789,3579,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",332,"1","Not Hispanic or Latino","Black or African American","Male",110,"Secured by a first lien",4931,35.3899993896484,110.129997253418,1320,1928,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",175,"1","Not Hispanic or Latino","White","Male",81,"Secured by a first lien",5022,28.9300003051758,124.459999084473,1321,2025,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",180,"1","Not Hispanic or Latino","Asian","Male",83,"Secured by a first lien",5485,41.75,108.120002746582,1586,2139,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",280,"1","Not Hispanic or Latino","White","Female",89,"Secured by a first lien",7306,16.3299999237061,138.990005493164,1900,2498,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",393,"1","Not Hispanic or Latino","White","Female",260,"Secured by a first lien",3380,54.3800010681152,105.75,887,1421,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",424,"1","Not Hispanic or Latino","White","Male",152,"Secured by a first lien",6775,10.1999998092651,204.869995117188,2235,2549,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",293,"1","Not Hispanic or Latino","White","Male",65,"Secured by a first lien",9805,59.9099998474121,105.139999389648,2012,3571,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",216,"1","Not Hispanic or Latino","White","Male",75,"Secured by a first lien",6432,39.2700004577637,79.3499984741211,1134,1549,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",341,"0","Not Hispanic or Latino","White","Male",31,"Secured by a first lien",5263,21.8700008392334,130.919998168945,1588,2144,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",274,"1","Not Hispanic or Latino","White","Male",67,"Secured by a first lien",4125,39.2200012207031,156.259994506836,869,1268,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",134,"1","Hispanic or Latino","White","Male",42,"Secured by a first lien",5075,73.1600036621094,111.25,870,1436,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",374,"1","Not Hispanic or Latino","White","Male",41,"Secured by a first lien",2333,32.6599998474121,112.300003051758,641,816,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",177,"1","Not Hispanic or Latino","White","Female",58,"Secured by a first lien",5705,66.6399993896484,93.6600036621094,561,1165,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",370,"0","Not Hispanic or Latino","White","Male",156,"Secured by a first lien",3639,14.9200000762939,96.5599975585938,991,2034,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",228,"0","Not Hispanic or Latino","Black or African American","Female",44,"Secured by a first lien",4263,37.9500007629395,135.210006713867,1155,1770,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Not owner-occupied as a principal dwelling",140,"0","Not Hispanic or Latino","White","Female",56,"Secured by a first lien",2952,42.8199996948242,88.8899993896484,794,1205,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",166,"1","Not Hispanic or Latino","White","Female",66,"Secured by a first lien",2414,15.1999998092651,93.2099990844727,675,1627,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",245,"1","Not Hispanic or Latino","Black or African American","Female",87,"Secured by a first lien",3963,66.870002746582,73.129997253418,692,1190,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",274,"1","Not Hispanic or Latino","White","Male",75,"Secured by a first lien",5614,24.3500003814697,113.300003051758,1458,1942,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",218,"0","Not Hispanic or Latino","White","Male",69,"Secured by a first lien",4876,8.60999965667725,174.860000610352,1396,1653,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",201,"1","Not Hispanic or Latino","White","Male",87,"Secured by a first lien",3810,58.2700004577637,112.120002746582,612,1037,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",142,"1","Not Hispanic or Latino","White","Female",64,"Secured by a first lien",4523,43.3800010681152,98.0299987792969,853,1867,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",223,"1","Not Hispanic or Latino","White","Female",128,"Secured by a first lien",5480,45.7999992370605,115.48999786377,825,1415,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",338,"0","Not Hispanic or Latino","White","Male",118,"Secured by a first lien",3625,39.2299995422363,113.73999786377,735,1083,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",322,"1","Not Hispanic or Latino","White","Female",108,"Secured by a first lien",2285,12.6899995803833,110.580001831055,1072,1672,"yes"
"FHA-insured","Manufactured housing","Refinancing","Owner-occupied as a principal dwelling",66,"1","Not Hispanic or Latino","White","Male",68,"Secured by a first lien",5165,50.1500015258789,61.9300003051758,776,1202,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",223,"0","Not Hispanic or Latino","White","Female",66,"Secured by a first lien",8041,41.4900016784668,96.0100021362305,830,1788,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",480,"0","Hispanic or Latino","White","Female",129,"Secured by a first lien",10021,58.3199996948242,87.8099975585938,1280,2002,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",5,"0","Hispanic or Latino","White","Male",101,"Not secured by a lien",6523,67.4400024414062,86.9899978637695,732,1606,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",136,"0","Not Hispanic or Latino","White","Female",113,"Secured by a first lien",5918,32.189998626709,124.139999389648,1247,2196,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",48,"1","Not Hispanic or Latino","White","Male",116,"Secured by a subordinate lien",6699,32.4799995422363,156.149993896484,1799,2279,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",113,"0","Not Hispanic or Latino","White","Female",60,"Secured by a first lien",2366,25.7399997711182,109.669998168945,718,860,"no"
